"code_micro","obese","followed","bfp","prop_illiterate","avg_percapita_income","health_teams"
"29001",718,10966,0.7939,14.4,543.6,98.0833333333333
"29002",309,5880,0.794175,24.1,236.17,51.9166666666667
"29003",372,7605,0.737822222222222,24.3,277.24,75.4166666666667
"29004",1720,23018,0.813525,19.8,339.54,147.416666666667
"29005",576,8462,0.833483333333333,19.5,428.79,60.8333333333333
"29006",696,9672,0.819328571428571,22.7,228.31,56.9166666666667
"29007",476,9086,0.79945,21.9,255.97,69.3333333333333
"29008",940,13663,0.7825,21,301.76,109.666666666667
"29009",1178,16080,0.796915789473684,18.2,285.69,151.416666666667
"29010",854,13080,0.808575,21.6,291.43,130.916666666667
"29011",598,11579,0.8212,22.7,304.6,96.9166666666667
"29012",2634,29682,0.799854166666667,14.7,489.48,342.333333333333
"29013",311,4911,0.8697,35.9,231.64,44.8333333333333
"29014",1030,15353,0.826411111111111,28.4,245.12,119.583333333333
"29015",901,13947,0.841078571428571,29.7,249.73,113.75
"29016",1321,17124,0.783783333333333,21.6,290.79,155
"29017",893,9446,0.828966666666667,17.9,374.91,93.4166666666667
"29018",445,5067,0.84876,20.6,274.51,40.25
"29019",690,7396,0.7599,12.1,401.94,78
"29020",2334,17859,0.81087619047619,16.6,370.5,199.583333333333
"29021",4280,23790,0.78892,4.6,853.62,564.5
"29022",333,8048,0.768418181818182,24.3,248.2,82.75
"29023",671,12433,0.757716666666667,20.2,280.4,104.083333333333
"29024",1248,18533,0.755176923076923,22.6,333.6,186
"29025",116,3853,0.71902,22.6,293.86,44.8333333333333
"29026",633,15326,0.729655555555556,21.4,342.42,139
"29027",384,9570,0.738107142857143,24.4,294.89,107.666666666667
"29028",1107,21428,0.780182352941176,20.8,394.62,204.083333333333
"29029",543,5730,0.757133333333333,22.6,367.77,68.25
"29030",726,10431,0.84656,22,316.23,92.5833333333333
"29031",2816,36182,0.768834146341464,19.4,417.25,352
"29032",1904,27889,0.685415789473684,18.2,466.44,301.25
